srcStateName,Class Studying,Schools surveyed,srcDistrictName,Students surveyed,srcYear,Average performance of students on learning outcome E302 EVS,Average performance of students on learning outcome E303 EVS,Average performance of students on learning outcome E304 EVS,Average performance of students on learning outcome E305 EVS,Average performance of students on learning outcome E307 EVS,Average performance of students on learning outcome E309 EVS,Average performance of students on learning outcome E310 EVS,Average performance of students on learning outcome E311 EVS,Average performance of students on learning outcome E313 EVS,Average performance of students on learning outcome E314 EVS,Average performance of students on learning outcome L304 Language,Average performance of students on learning outcome L312 Language,Average performance of students on learning outcome M301 Mathematics,Average performance of students on learning outcome M302 Mathematics,Average performance of students on learning outcome M303 Mathematics,Average performance of students on learning outcome M304 Mathematics,Average performance of students on learning outcome M305 Mathematics,Average performance of students on learning outcome M306 Mathematics,Average performance of students on learning outcome M309 Mathematics,Average performance of students on learning outcome M311 Mathematics,Average performance of students on learning outcome M312 Mathematics,Average performance of students on learning outcome M317 Mathematics,Average performance of students on learning outcome M318 Mathematics,Average performance of students on learning outcome M319 Mathematics,YearCode,Year
Uttarakhand,3,61,Bageshwar,453,2017,66.23,71.69,71.44,80.46,74.38,65.81,83,58.28,46.58,82.56,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Baghpat,1155,2017,57.66,61.47,67.48,66.45,66.99,57.71,71.17,56.62,30.65,71.69,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Bahraich,1282,2017,57.02,66.83,66.03,68.21,69.55,62.22,67.71,50.62,35.77,71.68,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,61,Baksa,769,2017,59.17,67.89,69.76,73.21,72.25,58.55,70.74,59.17,40.21,75.81,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,61,Ashoknagar,794,2017,,,,,,,,,,,73.64,70.6,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,61,Balaghat,855,2017,56.26,60.35,64.33,65.5,69.14,58.59,69.71,54.27,34.41,74.15,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,61,Balasore,1071,2017,55.09,60.82,60.37,68.3,70.49,63.36,70.77,59.29,43.28,75.16,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,61,Ballari,1595,2017,64.39,64.78,69.54,75.71,74.54,68.18,81.63,67.27,50.64,83.82,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,53,Ballia,862,2017,53.13,57.27,57.1,60.9,62.35,55.86,56.5,48.61,26.03,64.27,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,61,Balod,980,2017,56.94,52.77,66.49,70.1,67.31,58.01,76.02,55.71,42.92,87.04,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
